symbol,localsymbol,osid,tradedate,previoustradedate,close
WIP.IN,WIPRO,3022645,20190917,20190916,7409.19
REL.IN,RELIANCE,3023127,20190917,20190916,8081.35
ILC.IN,IDEA,3094236,20190917,20190916,8.44
HDS.IN,HDFCLIFE,3153738,20190917,20190916,530.7
ILC.IN,IDEA,3094236,20190918,20190917,8.03
HDS.IN,HDFCLIFE,3153738,20190918,20190917,539.1
WIP.IN,WIPRO,3022645,20190918,20190917,7413.74
REL.IN,RELIANCE,3023127,20190918,20190917,8137.03
WIP.IN,WIPRO,3022645,20190919,20190918,7328.77
REL.IN,RELIANCE,3023127,20190919,20190918,7957.17
ILC.IN,IDEA,3094236,20190919,20190918,9.02
HDS.IN,HDFCLIFE,3153738,20190919,20190918,532.45
ILC.IN,IDEA,3094236,20190920,20190919,9.69
HDS.IN,HDFCLIFE,3153738,20190920,20190919,563.85
WIP.IN,WIPRO,3022645,20190920,20190919,7463.82
REL.IN,RELIANCE,3023127,20190920,20190919,8465.36
WIP.IN,WIPRO,3022645,20190923,20190920,7263.53
REL.IN,RELIANCE,3023127,20190923,20190920,8363.11
ILC.IN,IDEA,3094236,20190923,20190920,9.27
HDS.IN,HDFCLIFE,3153738,20190923,20190920,540.75
ILC.IN,IDEA,3094236,20190924,20190923,9.27
HDS.IN,HDFCLIFE,3153738,20190924,20190923,551.05
WIP.IN,WIPRO,3022645,20190924,20190923,7304.49
REL.IN,RELIANCE,3023127,20190924,20190923,8629.69
WIP.IN,WIPRO,3022645,20190925,20190924,7246.84
REL.IN,RELIANCE,3023127,20190925,20190924,8635.43
ILC.IN,IDEA,3094236,20190925,20190924,8.77
HDS.IN,HDFCLIFE,3153738,20190925,20190924,557.85
ILC.IN,IDEA,3094236,20190926,20190925,8.61
HDS.IN,HDFCLIFE,3153738,20190926,20190925,569.3
WIP.IN,WIPRO,3022645,20190926,20190925,7195.25
REL.IN,RELIANCE,3023127,20190926,20190925,8751.84
WIP.IN,WIPRO,3022645,20190927,20190926,7180.07
REL.IN,RELIANCE,3023127,20190927,20190926,8834.52
ILC.IN,IDEA,3094236,20190927,20190926,9.35
HDS.IN,HDFCLIFE,3153738,20190927,20190926,582.3
ILC.IN,IDEA,3094236,20190930,20190927,10.18
HDS.IN,HDFCLIFE,3153738,20190930,20190927,601.15
WIP.IN,WIPRO,3022645,20190930,20190927,7277.18
REL.IN,RELIANCE,3023127,20190930,20190927,8991.09
WIP.IN,WIPRO,3022645,20191001,20190930,7086
REL.IN,RELIANCE,3023127,20191001,20190930,8806.51
ILC.IN,IDEA,3094236,20191001,20190930,8.94
HDS.IN,HDFCLIFE,3153738,20191001,20190930,598.2
ILC.IN,IDEA,3094236,20191003,20191001,8.44
HDS.IN,HDFCLIFE,3153738,20191003,20191001,592.9
WIP.IN,WIPRO,3022645,20191003,20191001,7157.31
REL.IN,RELIANCE,3023127,20191003,20191001,8848.01
WIP.IN,WIPRO,3022645,20191004,20191003,7213.45
REL.IN,RELIANCE,3023127,20191004,20191003,8828.11
ILC.IN,IDEA,3094236,20191004,20191003,8.36
HDS.IN,HDFCLIFE,3153738,20191004,20191003,584.45
ILC.IN,IDEA,3094236,20191007,20191004,8.36
HDS.IN,HDFCLIFE,3153738,20191007,20191004,584.45
WIP.IN,WIPRO,3022645,20191007,20191004,7213.45
REL.IN,RELIANCE,3023127,20191007,20191004,8828.11
